번호,종목명,평가액(억 원),자산군 내 비중(퍼센트),지분율(퍼센트)
1,APPLE INC,78637,3.06,0.23
2,MICROSOFT CORP,75664,2.95,0.25
3,AMAZON.COM INC,44387,1.73,0.22
4,ALPHABET INC CL A,39506,1.54,0.38
5,ALPHABET INC CL C,33510,1.31,0.31
6,META PLATFORMS INC CLASS A,32488,1.27,0.34
7,INVESCO PUREBETA MSCI USA ETF,26286,1.02,84.92
8,NVIDIA CORP,25625,1,0.29
9,TESLA INC,23886,0.93,0.19
10,UNITEDHEALTH GROUP INC,23865,0.93,0.43
11,TAIWAN SEMICONDUCTOR SP ADR,21262,0.83,0.29
12,NESTLE SA REG,18056,0.7,0.39
13,ROCHE HOLDING AG GENUSSCHEIN,16909,0.66,0.49
14,MASTERCARD INC   A,15387,0.6,0.37
15,JPMORGAN CHASE + CO,14167,0.55,0.26
16,TENCENT HOLDINGS LTD,14152,0.55,0.21
17,PROCTER + GAMBLE CO/THE,13960,0.54,0.3
18,JOHNSON + JOHNSON,13796,0.54,0.26
19,ASML HOLDING NV,13702,0.53,0.35
20,ADOBE INC,13650,0.53,0.43
21,TAIWAN SEMICONDUCTOR MANUFAC,13520,0.53,0.2
22,ISHARES CORE S+P 500 ETF,13045,0.51,0.33
23,MICRON TECHNOLOGY INC,12610,0.49,1.02
24,ORACLE CORP,12151,0.47,0.44
25,HOME DEPOT INC,11654,0.45,0.23
26,NETFLIX INC,11129,0.43,0.35
27,NOVO NORDISK A/S B,10979,0.43,0.46
28,NIKE INC  CL B,10371,0.4,0.41
29,ACCENTURE PLC CL A,10187,0.4,0.31
30,ALIBABA GROUP HOLDING LTD,10133,0.39,0.26
31,KEYENCE CORP,10098,0.39,0.56
32,ISHARES EDGE MSCI WORLD MINIMU,10054,0.39,19.59
33,BANK OF AMERICA CORP,10028,0.39,0.23
34,CISCO SYSTEMS INC,9954,0.39,0.31
35,MERCEDES BENZ GROUP AG,9884,0.39,1.01
36,INTUITIVE SURGICAL INC,9611,0.37,0.63
37,ILLUMINA INC,9509,0.37,1.35
