분류,상호,도로명주소,지번주소,전화번호,위치,좌석수,이용시간,휴무일,주차장,메뉴,업태,코스,경도,위도,데이터기준일자
골목투어,(주)수락산시로,대구광역시 중구 동성로2길 27-1(삼덕동1가),대구광역시 중구 삼덕동1가 11-6,053-421-5554,금융결재원-야시골목,42석 (1실),12:00-24:00,없음,유료주차장,"스끼야끼 20,000 라멘 10,000",일식,3코스,128.596149,35.86718506,2020-01-14
맛락|골목투어|묵은맛명가,8번식당,대구광역시 중구 서성로13길 8(서성로1가),대구광역시 중구 서성로1가 59-1,053-255-0167,서성로 돼지골목 안,88석,00:00~24:00,없음,유료주차장,"8번정식 9,000 수육 22,000(소) 순대 22,000(소)",한식,1코스,128.5868833,35.87235875,2020-01-14
모범음식점,가야골 가마솥 한우국밥,"대구광역시 중구 중앙대로 464-8, 1층 (북성로1가)",,053-952-5700,,60석(1실),09:00~22:00,"설,추석명절",없음,"국밥 7,000 닭계장 6,000",한식,,128.5935768,35.8658874,2020-01-14
맛락,가창식당,대구광역시 중구 종로 11-9(계산동2가),,053-255-0516,염매시장 안,14석,09:00~20:00,첫째 셋째 일요일,유료주차장,"돼지국밥 6,500 수육 15,000~25,000",한식,,128.5914228,35.86689141,2020-01-14
골목투어|묵은맛명가|모범음식점,가창큰나무집약령시점,대구광역시 중구 남성로 25 (남성로),대구광역시 중구 남성로51-6,053-256-0709,약령시전시관 2층,98석,10:00- 21:00,없음,유료주차장,"궁중약백숙 13,000",한식,2코스,128.5897275,35.86808213,2020-01-14
맛락,갈비탕집,대구광역시 중구 국채보상로139길 38(동인동3가),,053-010-2166,중구청 옆,45석,11:00~22:00,매주 일요일,유료주차장,"갈비탕 9,000 갈비전골 25,000(중)/35,000(대)",한식,,128.6065228,35.87073671,2020-01-14
맛락,강구,대구광역시 중구 서성로 25-5(계산동1가),,053-253-8944,매일신문사 길 건너편 오래된 골목,120석(1실),09:30~21:30,첫째 셋째 일요일,유료주차장,"생대구탕 14,000(1인) 생아구수육 40,000(小)/50,000(大)",한식,,128.586743,35.86896042,2020-01-14
모범음식점,강산면옥(교동점),"대구광역시 중구 교동길 27-8, 3층 (교동)",,053-425-1199,,160석(2실),10:00-21:00,"설, 추석 명절",없음,"냉면 8,500 갈비탕 11,000",별식,,128.5964,35.873639,2020-01-14
맛락|묵은맛명가|모범음식점,개정,대구광역시 중구 동성로3길 52(삼덕동1가),대구광역시 중구 삼덕동1가21-25?,053-424-7051,자이유에서 노보텔쪽 100m,150석(1실),11:00~21:30,명절,유료주차장,"육회비빔밥 12,000 물비빔면 10,000",한식,,128.5979854,35.86766978,2020-01-14
모범음식점,개정동성로점,"대구광역시 중구 동성로 36-6, 2층 (동성로2가)",,053-422-0366,,74석(1실),11:00-22:00,"설, 추석 명절",없음,"냉면 8,500 비빔밥 9,000",한식,,128.596501,35.870055,2020-01-14
맛락|골목투어,거창식당,대구광역시 중구 서성로 25-7(계산동1가),대구광역시 중구 계산동1가80,053-253-6699,매일신문사 길 건너편 오래된 골목,84석(3실),09:00-22:00,명절,7대,"밀복어탕 14,000 웰빙샤브샤브 18,000 불고기 12,000",한식,3코스,128.5865919,35.86899006,2020-01-14
모범음식점,고전 한정식,"대구광역시 중구 동덕로 112-1, 1층 (삼덕동2가)",,053-427-6567,,56석(4실),09:00-21:00,"설, 추석 명절",없음,"한정식 8,000",한식,,128.603267,35.864622,2020-01-14
맛락|골목투어|모범음식점,고향뜰,대구광역시 중구 약령길 78-2(수동),대구광역시 중구 수동 31-2,053-257-6700,곽병원 맞은편 대신증권 뒷골목,88석(3실),10:00-22:00,명절,유료주차장,"숫총각버섯탕 10,000 능이버섯탕 13,000 불고기버섯전골 28,000(小)/38,000(中)/48,000(大)",한식,3코스,128.5958952,35.86860548,2020-01-14
골목투어,관음,대구광역시 중구 경상감영1길 53 (대안동),대구광역시 중구 대안동 2-1,053-255-2775,대안성당에서 30m,80,07:00-21:00,"설,추석명절",유료주차장,"추어탕 7,000",한식,1코스,128.5927474,35.87337779,2020-01-14
