연번,용도,장소,주소
1,불법 주정차 단속용,LEL어학원 앞,대구광역시 수성구 달구벌대로 2476
2,불법 주정차 단속용,SK리더스뷰 남편 입구,대구광역시 수성구 동대구로 95
3,불법 주정차 단속용,SK리더스뷰 동편 전방,대구광역시 수성구 동대구로 95
4,불법 주정차 단속용,SK리더스뷰 북편 전방,대구광역시 수성구 동대구로 95
5,불법 주정차 단속용,고산 신한은행 앞,대구광역시 수성구 달구벌대로 3218
6,불법 주정차 단속용,남부상가,대구광역시 수성구 달구벌대로 2538
7,불법 주정차 단속용,농협 황금동지점 앞,대구광역시 수성구 청수로 190
8,불법 주정차 단속용,대우트럼프월드,대구광역시 수성구 동대구로 59
9,불법 주정차 단속용,동대구농협 앞,대구광역시 수성구 달구벌대로 2489
10,불법 주정차 단속용,마크팰리스-1,대구광역시 수성구 동대구로 334
11,불법 주정차 단속용,마크팰리스-2,대구광역시 수성구 동대구로 334
12,불법 주정차 단속용,매트로팔레스 전방,대구광역시 수성구 동원로 136
13,불법 주정차 단속용,목련시장 주변,대구광역시 수성구 지산로 5
14,불법 주정차 단속용,관계삼거리,대구광역시 수성구 범물동 165
15,불법 주정차 단속용,범어 삼성쉐르빌,대구광역시 수성구 청호로 426
16,불법 주정차 단속용,범어네거리 우리은행 앞,대구광역시 수성구 달구벌대로 2393
17,불법 주정차 단속용,범어라온프라이빗,대구광역시 수성구 범어동 775-47
18,불법 주정차 단속용,범어성당 앞,대구광역시 수성구 범어동 882-23
19,불법 주정차 단속용,범어약국(수성구청역) 앞,대구광역시 수성구 달구벌대로 2502
20,불법 주정차 단속용,브라운스톤(범어네거리),대구광역시 수성구 범어동 834
21,불법 주정차 단속용,사월역 3번 출구,대구광역시 수성구 달구벌대로 3294
22,불법 주정차 단속용,사월역 파인누리(푸르지오),대구광역시 수성구 달구벌대로659길 22
23,불법 주정차 단속용,삼성라이온즈파크 앞,대구광역시 수성구 야구전설로 1
24,불법 주정차 단속용,삼성라이온즈파크 건너,대구광역시 수성구 연호동 산23-3
25,불법 주정차 단속용,삼환나우빌 북편 입구,대구광역시 수성구 범어천로 199
26,불법 주정차 단속용,성동초교 정문 옆,대구광역시 수성구 청수로45길 27
27,불법 주정차 단속용,성삼병원 앞,대구광역시 수성구 달구벌대로 3190
28,불법 주정차 단속용,대구교육청 부근,대구광역시 수성구 수성로 356
29,불법 주정차 단속용,수성2차 e편한세상 북편1,대구광역시 수성구 달구벌대로526길
30,불법 주정차 단속용,수성2차 e편한세상 북편2,대구광역시 수성구 달구벌대로526길
31,불법 주정차 단속용,수성구청역 LG전자 앞,대구광역시 수성구 달구벌대로 2495
32,불법 주정차 단속용,수성시장 주변,대구광역시 수성구 명덕로 415
33,불법 주정차 단속용,수성하이츠 앞,대구광역시 수성구 수성로 393
34,불법 주정차 단속용,신매광장,대구광역시 수성구 신매로19길 54
35,불법 주정차 단속용,신매시장 앞,대구광역시 수성구 신매로 91
36,불법 주정차 단속용,안심약국 주변,대구광역시 수성구 달구벌대로 2510
37,불법 주정차 단속용,자금성,대구광역시 수성구 동대구로 127
38,불법 주정차 단속용,지산프라자 정민약국 앞,대구광역시 수성구 지범로 181
39,불법 주정차 단속용,청구네거리 청운신협 건너,대구광역시 수성구 들안로 417
40,불법 주정차 단속용,킹덤오피스텔 앞,대구광역시 수성구 동대구로 386
41,불법 주정차 단속용,하여가,대구광역시 수성구 청수로 109
42,불법 주정차 단속용,한우황금시대,대구광역시 수성구 청수로 131
43,불법 주정차 단속용,화성쌍용타운 앞(수성4가동),대구광역시 수성구 수성로 411
44,불법 주정차 단속용,화성파크드림 2단지,대구광역시 수성구 들안로60길 7
45,불법 주정차 단속용,수성동3가 화성파크드림 1단지 남편,대구광역시 수성구 들안로60길 7
46,불법 주정차 단속용,성원넥서스, 코오롱아울렛 앞
47,불법 주정차 단속용,법원맞은편 서울보증보험 앞,대구광역시 수성구 동대구로 359
48,불법 주정차 단속용,동성초등학교 수성문구센터 앞,대구광역시 수성구 수성로 313
49,불법 주정차 단속용,만촌동 바른등신경외과,대구광역시 수성구 화랑로 96
50,불법 주정차 단속용,수성롯데캐슬더퍼스트,대구광역시 수성구 명덕로73길 32
51,불법 주정차 단속용,중앙초등학교,대구광역시 수성구 만촌로 125
52,불법 주정차 단속용,신매우체국 앞,대구광역시 수성구 달구벌대로 3182
53,불법 주정차 단속용,수성못 올리브영 앞,대구광역시 수성구 수성못길 16
54,불법 주정차 단속용,수성못 관광정보센터 앞,대구광역시 수성구 두산동 608-2
55,불법 주정차 단속용,불교한방병원 앞,대구광역시 수성구 용학로25길 6
56,불법 주정차 단속용,지산2동행정복지센터 인근,대구광역시 수성구 용학로 175
57,불법 주정차 단속용,범어해링턴,대구광역시 수성구 청호로 433
58,불법 주정차 단속용,만촌역 1번 출구(만촌네거리),대구광역시 수성구 달구벌대로 2571
59,주정차위반, 버스전용차로 복합무인단속,수성대학교
